outcome_variable,predictor_variable,n_lgas,pearson_correlation,spearman_correlation
vulnerable_pct_dv1,mean_google_overall_rating,130,0.09443031237017756,0.11902534982496632
vulnerable_pct_dv1,median_google_overall_rating,130,0.08529476505273435,0.12747834181172576
vulnerable_pct_dv1,mean_individual_rating,130,0.09448522084494133,0.10274688133957935
vulnerable_pct_dv1,median_individual_rating,130,-0.11185329443440324,-0.09061138830232572
vulnerable_pct_dv1,pct_5_star_individual_reviews,130,0.0541780466130815,0.06021516537597332
vulnerable_pct_dv1,pct_1_or_2_star_individual_reviews,130,-0.11807474142682206,-0.1431657904037963
vulnerable_pct_dv1,pct_services_with_google_review_data,130,0.03379074322346216,-0.13451414454795052
vulnerable_pct_dv2,mean_google_overall_rating,130,0.10418168599987916,0.13041418495055077
vulnerable_pct_dv2,median_google_overall_rating,130,0.09882753909253489,0.14518069886130042
vulnerable_pct_dv2,mean_individual_rating,130,0.10039267944781403,0.10791426835431846
vulnerable_pct_dv2,median_individual_rating,130,-0.11391835368302515,-0.09717948723909639
vulnerable_pct_dv2,pct_5_star_individual_reviews,130,0.0664611698370756,0.0679335877169948
vulnerable_pct_dv2,pct_1_or_2_star_individual_reviews,130,-0.11908077042354438,-0.14351540828363385
vulnerable_pct_dv2,pct_services_with_google_review_data,130,-0.0210355253840842,-0.12479361986884077
vulnerable_pct_language,mean_google_overall_rating,130,0.0655377751148644,0.08129573480239664
vulnerable_pct_language,median_google_overall_rating,130,0.05650751550634691,0.09330383330230853
vulnerable_pct_language,mean_individual_rating,130,0.05369064354695002,0.06123025871217516
vulnerable_pct_language,median_individual_rating,130,-0.08478545087533516,-0.098426893967862
vulnerable_pct_language,pct_5_star_individual_reviews,130,0.01814461477114892,0.034569027448800034
vulnerable_pct_language,pct_1_or_2_star_individual_reviews,130,-0.07343457539783481,-0.09707905222802113
vulnerable_pct_language,pct_services_with_google_review_data,130,0.06641461807665831,-0.1278034592047157
vulnerable_pct_communication,mean_google_overall_rating,130,0.15396548371157084,0.14431960288579537
vulnerable_pct_communication,median_google_overall_rating,130,0.16890906507191794,0.17669204515864728
vulnerable_pct_communication,mean_individual_rating,130,0.15315579844978353,0.13799818377046588
vulnerable_pct_communication,median_individual_rating,130,-0.020691536605465147,-0.013993420507053237
vulnerable_pct_communication,pct_5_star_individual_reviews,130,0.1459451625729135,0.11295771803962011
vulnerable_pct_communication,pct_1_or_2_star_individual_reviews,130,-0.15227995366484182,-0.14515151070568622
vulnerable_pct_communication,pct_services_with_google_review_data,130,0.053713176232561055,-0.04713320999926868
